cd_regiao;nm_regiao;cd_uf;nm_uf;cd_mun_ibge_7;cd_mun_ibge_6;nm_municipio
1;Norte;11;Rondônia;1100015;110001;Alta Floresta D'Oeste
1;Norte;11;Rondônia;1100379;110037;Alto Alegre dos Parecis
1;Norte;11;Rondônia;1100403;110040;Alto Paraíso
1;Norte;11;Rondônia;1100346;110034;Alvorada D'Oeste
1;Norte;11;Rondônia;1100023;110002;Ariquemes
1;Norte;11;Rondônia;1100452;110045;Buritis
1;Norte;11;Rondônia;1100031;110003;Cabixi
1;Norte;11;Rondônia;1100601;110060;Cacaulândia
1;Norte;11;Rondônia;1100049;110004;Cacoal
1;Norte;11;Rondônia;1100700;110070;Campo Novo de Rondônia
1;Norte;11;Rondônia;1100809;110080;Candeias do Jamari
1;Norte;11;Rondônia;1100908;110090;Castanheiras
1;Norte;11;Rondônia;1100056;110005;Cerejeiras
1;Norte;11;Rondônia;1100924;110092;Chupinguaia
1;Norte;11;Rondônia;1100064;110006;Colorado do Oeste
1;Norte;11;Rondônia;1100072;110007;Corumbiara
1;Norte;11;Rondônia;1100080;110008;Costa Marques
1;Norte;11;Rondônia;1100940;110094;Cujubim
1;Norte;11;Rondônia;1100098;110009;Espigão D'Oeste
1;Norte;11;Rondônia;1101005;110100;Governador Jorge Teixeira
1;Norte;11;Rondônia;1100106;110010;Guajará-Mirim
1;Norte;11;Rondônia;1101104;110110;Itapuã do Oeste
1;Norte;11;Rondônia;1100114;110011;Jaru
1;Norte;11;Rondônia;1100122;110012;Ji-Paraná
1;Norte;11;Rondônia;1100130;110013;Machadinho D'Oeste
1;Norte;11;Rondônia;1101203;110120;Ministro Andreazza
1;Norte;11;Rondônia;1101302;110130;Mirante da Serra
1;Norte;11;Rondônia;1101401;110140;Monte Negro
1;Norte;11;Rondônia;1100148;110014;Nova Brasilândia D'Oeste
1;Norte;11;Rondônia;1100338;110033;Nova Mamoré
1;Norte;11;Rondônia;1101435;110143;Nova União
1;Norte;11;Rondônia;1100502;110050;Novo Horizonte do Oeste
1;Norte;11;Rondônia;1100155;110015;Ouro Preto do Oeste
1;Norte;11;Rondônia;1101450;110145;Parecis
1;Norte;11;Rondônia;1100189;110018;Pimenta Bueno
1;Norte;11;Rondônia;1101468;110146;Pimenteiras do Oeste
1;Norte;11;Rondônia;1100205;110020;Porto Velho
1;Norte;11;Rondônia;1100254;110025;Presidente Médici
1;Norte;11;Rondônia;1101476;110147;Primavera de Rondônia
1;Norte;11;Rondônia;1100262;110026;Rio Crespo
1;Norte;11;Rondônia;1100288;110028;Rolim de Moura
1;Norte;11;Rondônia;1100296;110029;Santa Luzia D'Oeste
1;Norte;11;Rondônia;1101484;110148;São Felipe D'Oeste
1;Norte;11;Rondônia;1101492;110149;São Francisco do Guaporé
1;Norte;11;Rondônia;1100320;110032;São Miguel do Guaporé
1;Norte;11;Rondônia;1101500;110150;Seringueiras
1;Norte;11;Rondônia;1101559;110155;Teixeirópolis
1;Norte;11;Rondônia;1101609;110160;Theobroma
1;Norte;11;Rondônia;1101708;110170;Urupá
1;Norte;11;Rondônia;1101757;110175;Vale do Anari
1;Norte;11;Rondônia;1101807;110180;Vale do Paraíso
1;Norte;11;Rondônia;1100304;110030;Vilhena
1;Norte;12;Acre;1200013;120001;Acrelândia
1;Norte;12;Acre;1200054;120005;Assis Brasil
1;Norte;12;Acre;1200104;120010;Brasiléia
1;Norte;12;Acre;1200138;120013;Bujari
1;Norte;12;Acre;1200179;120017;Capixaba
1;Norte;12;Acre;1200203;120020;Cruzeiro do Sul
1;Norte;12;Acre;1200252;120025;Epitaciolândia
1;Norte;12;Acre;1200302;120030;Feijó
1;Norte;12;Acre;1200328;120032;Jordão
1;Norte;12;Acre;1200336;120033;Mâncio Lima
1;Norte;12;Acre;1200344;120034;Manoel Urbano
